Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,sv,0.3241,3,58,0.0495798319327731,6026,948,6.356540084388186,0.2404336943809909,0.0925206033276318,2.555855600397112,0.9766,0.5851,0.5735,0.3277,0.5489,0.0842
pcm,da,0.0807,49,12,0.0915966386554621,5512,948,5.814345991561181,0.2897915761056075,0.0925206033276318,4.546209655774099,0.967,0.6712,0.6501,0.5354,0.5789,0.3606
pcm,id,0.187,30,31,0.1092436974789916,5593,948,5.899789029535865,0.2927781145801758,0.0925206033276318,4.684904224426879,0.9791,0.5604,0.5483,0.2677,0.473,0.0924
pcm,uk,0.0133,58,3,0.0100840336134453,5873,948,6.195147679324895,0.4399821508255243,0.0925206033276318,14.103814484514292,0.9744,0.6424,0.5872,0.3277,0.5079,0.1158
pcm,fa,0.1473,34,27,0.0042016806722689,5997,948,6.325949367088608,0.15688157524207,0.0925206033276318,0.4839140985616458,0.9744,0.6127,0.5904,0.3277,0.5677,0.1567
pcm,he,0.118,41,20,0.0025210084033613,6216,948,6.556962025316456,0.4067013046511386,0.0925206033276318,11.531401597513856,0.9744,0.6042,0.584,0.2468,0.5864,0.0502
pcm,eu,0.228,21,40,0.0235294117647058,8993,948,9.486286919831224,0.3519527880166261,0.0925206033276318,7.8626834872387805,0.9744,0.5713,0.5612,0.2677,0.5734,0.0868
pcm,lv,0.0582,52,9,0.026890756302521,7703,948,8.125527426160337,0.37546297265061,0.0925206033276318,9.35231356770415,0.0,0.6428,0.6149,0.4878,0.5961,0.0846
pcm,sl,0.1988,25,36,0.0512605042016806,8000,948,8.438818565400844,0.3676498731122853,0.0925206033276318,8.842940008793772,0.9819,0.5281,0.5226,0.2952,0.5337,0.1571
pcm,hr,0.1898,29,32,0.0764705882352941,8889,948,9.376582278481012,0.2981575694863614,0.0925206033276318,4.939983104424799,0.9744,0.6227,0.5864,0.3729,0.4914,0.0616
