Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
port1283,slov1269,0.9139,0.7216,0.6921,0.5426,0.6391,0.079
port1283,roma1327,0.5582,0.421,0.4394,0.3141,0.4225,0.094
port1283,croa1245,0.9273,0.5255,0.5078,0.3743,0.3806,0.0707
port1283,stan1318,1.0,0.5211,0.5015,0.319,0.4792,0.1826
port1283,latv1249,0.8886,0.4851,0.4588,0.3695,0.4231,0.1062
port1283,hebr1245,1.0,0.4361,0.5,0.4576,0.5958,0.1479
port1283,ukra1253,0.9139,0.4265,0.4051,0.2566,0.4048,0.0951
port1283,indo1316,1.0,0.5156,0.5142,0.3141,0.4158,0.4299
port1283,dani1285,0.9214,0.434,0.4106,0.3141,0.3048,0.0711
port1283,swed1254,0.9214,0.4265,0.4681,0.3578,0.493,0.1005
port1283,mand1415,1.0,0.5448,0.5939,0.4685,0.5869,0.3376
lati1261,czec1258,0.8831,0.4899,0.4598,0.3862,0.4714,0.0375
lati1261,russ1263,0.8564,0.4692,0.4668,0.3862,0.4803,0.1802
lati1261,norw1258,0.8718,0.5532,0.5582,0.3141,0.5945,0.0826
lati1261,stan1288,0.5533,0.5687,0.5346,0.427,0.4617,0.0472
lati1261,kore1280,1.0,0.5876,0.5619,0.427,0.507,0.3358
lati1261,esto1258,0.9766,0.5563,0.5002,0.3277,0.4028,0.0869
lati1261,poli1260,0.8718,0.4096,0.441,0.2617,0.453,0.0493
lati1261,dutc1256,0.9047,0.5406,0.5214,0.2952,0.5145,0.0517
lati1261,port1283,0.529,0.5021,0.4857,0.3141,0.4757,0.0564
lati1261,stan1290,0.5533,0.5841,0.5422,0.4161,0.4985,0.0438
lati1261,stan1295,0.8831,0.5634,0.5531,0.439,0.5248,0.0309
lati1261,hind1269,0.8919,0.5008,0.5304,0.4161,0.5545,0.2392
lati1261,stan1289,0.5,0.4767,0.457,0.2617,0.4251,0.031
lati1261,ital1282,0.4646,0.4752,0.4653,0.3277,0.4236,0.0053
lati1261,stan1293,0.9047,0.6443,0.6112,0.3141,0.5256,0.0653
