Source lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
czec1258,finn1318,1.0,0.5177,0.488,0.2677,0.4818,0.0724
czec1258,alba1267,0.7323,0.5168,0.4914,0.319,0.4422,0.0385
czec1258,viet1252,1.0,0.7361,0.6729,0.4745,0.4953,0.3213
czec1258,stan1290,0.9248,0.5632,0.5153,0.4196,0.4713,0.0403
czec1258,esto1258,0.9744,0.5482,0.5038,0.195,0.4714,0.0506
czec1258,mace1250,0.6667,0.4761,0.4194,0.0,0.315,0.0435
czec1258,bosn1245,0.6936,0.6065,0.5716,0.4359,0.4742,0.0329
czec1258,swed1254,0.8934,0.5181,0.5311,0.319,0.573,0.0459
czec1258,poli1260,0.4788,0.4737,0.4743,0.2677,0.4653,0.0137
czec1258,west2369,0.9014,0.5947,0.537,0.359,0.4971,0.1647
czec1258,kurd1259,0.8934,0.5356,0.5251,0.3918,0.5104,0.1184
czec1258,hung1274,1.0,0.5659,0.5155,0.2677,0.4169,0.0194
czec1258,slov1268,0.631,0.4016,0.4021,0.0,0.4204,0.0167
czec1258,roma1327,0.9078,0.5227,0.4984,0.2677,0.4494,0.0321
czec1258,russ1263,0.5804,0.4716,0.4249,0.0,0.4034,0.1549
czec1258,serb1264,0.6936,0.5046,0.505,0.195,0.4428,0.0332
czec1258,tami1289,1.0,0.6192,0.5702,0.3862,0.568,0.2781
czec1258,kaza1248,1.0,0.7944,0.7218,0.6172,0.5397,0.1585
czec1258,mara1378,0.8934,0.5947,0.5838,0.2871,0.5957,0.2513
czec1258,ukra1253,0.631,0.4256,0.3905,0.195,0.3804,0.029
czec1258,thai1261,1.0,0.7088,0.6698,0.4788,0.5458,0.3188
czec1258,bela1254,0.5804,0.4359,0.4008,0.0,0.3949,0.0337
czec1258,nucl1301,1.0,0.5851,0.5157,0.195,0.4197,0.0731
czec1258,nort2697,1.0,0.5738,0.5153,0.195,0.4663,0.1067
czec1258,stan1295,0.8934,0.501,0.5098,0.359,0.4728,0.0097
czec1258,bulg1262,0.6667,0.5263,0.506,0.0,0.4507,0.0432
