Task lang,Aux lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
taga1270,uppe1395,1.0,0.7433,0.72,0.5641,0.6611,0.363
taga1270,kaza1248,1.0,0.87,0.7218,0.5533,0.5152,0.2407
taga1270,nucl1235,1.0,0.5984,0.5653,0.4878,0.4592,0.2992
taga1270,swed1236,1.0,0.7433,0.72,0.5641,0.6611,0.3509
taga1270,lith1251,1.0,0.5827,0.5669,0.3862,0.5011,0.3412
taga1270,bela1254,1.0,0.5719,0.5523,0.3862,0.4191,0.3395
taga1270,mara1378,1.0,0.6355,0.5838,0.2677,0.4531,0.1917
taga1270,copt1239,1.0,0.6339,0.5911,0.4788,0.5056,0.3435
taga1270,tami1289,1.0,0.7138,0.6143,0.3729,0.4678,0.186
taga1270,iris1253,1.0,0.5472,0.5449,0.3881,0.4474,0.3953
taga1270,hung1274,1.0,0.5975,0.5594,0.3729,0.4873,0.3574
taga1270,telu1262,1.0,0.6872,0.5959,0.3277,0.4763,0.1839
taga1270,afri1274,1.0,0.7342,0.6703,0.4646,0.5016,0.3853
taga1270,viet1252,1.0,0.5944,0.5611,0.3881,0.4604,0.0684
taga1270,uigh1240,1.0,0.737,0.6115,0.3862,0.439,0.2042
taga1270,mode1248,1.0,0.5144,0.5594,0.427,0.5398,0.35
taga1270,nort2671,1.0,0.5785,0.5609,0.3918,0.4848,0.3326
taga1270,gali1258,1.0,0.5075,0.5316,0.3141,0.4485,0.4149
taga1270,serb1264,1.0,0.5824,0.5189,0.3277,0.3751,0.355
taga1270,goth1244,1.0,0.5437,0.4902,0.1864,0.3918,0.3346
taga1270,nucl1301,1.0,0.6567,0.5759,0.427,0.4247,0.332
taga1270,mand1415,1.0,0.6233,0.6265,0.5114,0.5765,0.1191
taga1270,urdu1245,1.0,0.6643,0.6018,0.4878,0.4938,0.2283
taga1270,chur1257,1.0,0.7433,0.72,0.5641,0.6611,0.3535
taga1270,swed1254,1.0,0.6186,0.5909,0.409,0.4947,0.3479
taga1270,dani1285,1.0,0.6261,0.5865,0.3729,0.4445,0.3671
taga1270,indo1316,0.7374,0.5742,0.4977,0.2617,0.3349,0.1107
taga1270,ukra1253,1.0,0.5315,0.5334,0.3277,0.4828,0.3461
taga1270,west2369,1.0,0.6768,0.5969,0.439,0.4485,0.2695
taga1270,hebr1245,1.0,0.5432,0.5848,0.427,0.5223,0.3314
taga1270,basq1248,0.9724,0.5962,0.5576,0.4601,0.4715,0.4029
taga1270,latv1249,1.0,0.6046,0.5737,0.427,0.4581,0.3392
taga1270,slov1268,1.0,0.5795,0.5686,0.3862,0.4685,0.3682
taga1270,croa1245,1.0,0.613,0.5614,0.4407,0.4641,0.3652
taga1270,roma1327,1.0,0.4847,0.492,0.3729,0.4485,0.348
taga1270,slov1269,1.0,0.7433,0.72,0.5641,0.6611,0.3575
taga1270,bulg1262,1.0,0.5381,0.5552,0.3862,0.5545,0.3487
taga1270,port1283,1.0,0.541,0.5493,0.3141,0.467,0.4098
taga1270,dutc1256,1.0,0.6149,0.5991,0.3881,0.5255,0.3785
taga1270,stan1293,1.0,0.6696,0.6203,0.3141,0.461,0.3864
taga1270,ital1282,1.0,0.5653,0.5812,0.3277,0.5276,0.3764
taga1270,stan1289,1.0,0.5432,0.5445,0.2617,0.4192,0.3965
taga1270,hind1269,1.0,0.6347,0.5787,0.4161,0.489,0.1915
taga1270,poli1260,1.0,0.5925,0.5689,0.2617,0.4394,0.3544
taga1270,stan1295,1.0,0.5856,0.5618,0.439,0.4947,0.3699
taga1270,oldf1239,1.0,0.5288,0.5035,0.3333,0.4235,0.3928
taga1270,stan1288,1.0,0.5092,0.5204,0.427,0.4641,0.407
taga1270,stan1290,1.0,0.5958,0.6001,0.4161,0.5309,0.3897
taga1270,finn1318,1.0,0.5787,0.5314,0.3729,0.434,0.3311
taga1270,anci1242,1.0,0.5169,0.5137,0.3729,0.3751,0.3593
taga1270,norw1258,1.0,0.5628,0.5499,0.409,0.4926,0.3589
