Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
mara1378,panj1256,0.6667,0.463,0.4287,0.319,0.3531,0.0555
mara1378,poli1260,0.8831,0.5358,0.55,0.2677,0.5464,0.2444
mara1378,port1283,0.9214,0.5966,0.5703,0.319,0.4726,0.3011
mara1378,roma1327,0.9078,0.6095,0.5638,0.2677,0.4744,0.2247
mara1378,russ1263,0.8691,0.5502,0.562,0.2871,0.6018,0.1613
mara1378,shon1251,1.0,0.7429,0.6813,0.5587,0.5638,0.2504
mara1378,soma1255,1.0,0.5231,0.5031,0.4196,0.4513,0.1499
mara1378,stan1288,0.9248,0.6333,0.5961,0.3433,0.5499,0.2935
mara1378,swah1253,1.0,0.7158,0.6606,0.5049,0.5469,0.2048
mara1378,swed1254,0.8934,0.5911,0.585,0.4208,0.5352,0.2557
mara1378,tami1289,1.0,0.5338,0.468,0.3862,0.3687,0.0352
mara1378,telu1262,1.0,0.497,0.4585,0.3433,0.3556,0.0112
mara1378,taji1245,0.8245,0.7044,0.6303,0.2952,0.5266,0.0999
mara1378,taga1270,1.0,0.6355,0.5838,0.2677,0.4531,0.1917
mara1378,thai1261,1.0,0.7285,0.6285,0.3862,0.3767,0.1056
mara1378,tigr1271,1.0,0.5925,0.5543,0.359,0.5354,0.1614
mara1378,turk1304,1.0,0.5541,0.5148,0.3433,0.4328,0.111
mara1378,nucl1301,1.0,0.577,0.5547,0.3433,0.5638,0.1925
mara1378,ukra1253,0.8831,0.5802,0.5614,0.195,0.5248,0.2263
mara1378,uigh1240,1.0,0.5981,0.5501,0.4097,0.5127,0.1168
mara1378,uzbe1247,1.0,0.5891,0.5649,0.5049,0.5472,0.1065
mara1378,viet1252,1.0,0.7665,0.6697,0.4745,0.5383,0.1285
mara1378,xhos1239,1.0,0.7354,0.6512,0.4498,0.5351,0.2869
mara1378,yoru1245,1.0,0.8009,0.6763,0.4097,0.4407,0.3018
mara1378,zulu1248,1.0,0.725,0.6603,0.4745,0.5774,0.2648
panj1256,amha1245,1.0,0.5947,0.5548,0.3578,0.5241,0.1698
panj1256,stan1318,1.0,0.6349,0.5718,0.319,0.5366,0.1254
panj1256,nort2697,1.0,0.5053,0.5213,0.3695,0.5604,0.1174
panj1256,beng1280,0.6936,0.4948,0.4398,0.3021,0.3369,0.0644
panj1256,stan1289,0.9176,0.5547,0.5187,0.1789,0.4574,0.2506
panj1256,cebu1242,1.0,0.6929,0.6324,0.3141,0.5457,0.2201
panj1256,cent1972,0.8003,0.7917,0.8047,0.8211,0.8576,0.1157
panj1256,stan1295,0.8934,0.5703,0.5492,0.3931,0.5228,0.2217
panj1256,west2369,0.8003,0.5451,0.5332,0.3931,0.5479,0.0815
panj1256,stan1290,0.9248,0.6318,0.5554,0.2851,0.4609,0.2494
panj1256,haus1257,1.0,0.6079,0.5881,0.4225,0.562,0.2755
panj1256,hind1269,0.6936,0.4045,0.3947,0.2851,0.3253,0.0237
panj1256,hung1274,1.0,0.5354,0.5164,0.3141,0.4758,0.2021
panj1256,ilok1237,1.0,0.6276,0.5695,0.2566,0.4987,0.193
panj1256,indo1316,1.0,0.6135,0.5689,0.3141,0.4715,0.2173
panj1256,ital1282,0.9131,0.5454,0.5407,0.2566,0.5192,0.2231
panj1256,java1254,1.0,0.662,0.5783,0.409,0.3915,0.1999
panj1256,kaza1248,1.0,0.7719,0.7142,0.5741,0.6119,0.0651
panj1256,kiny1244,1.0,0.6789,0.6248,0.5335,0.5311,0.2349
panj1256,kirg1245,1.0,0.55,0.5281,0.3931,0.5306,0.055
panj1256,kurd1259,0.7837,0.6751,0.5962,0.3418,0.5465,0.1155
panj1256,laoo1244,1.0,0.655,0.6207,0.409,0.5167,0.1344
panj1256,mara1378,0.6667,0.463,0.4287,0.319,0.3531,0.0555
panj1256,malt1254,1.0,0.566,0.5515,0.3695,0.5681,0.2224
panj1256,nucl1310,1.0,0.6402,0.5677,0.3931,0.4423,0.0859
panj1256,stan1306,1.0,0.7032,0.6294,0.2566,0.509,0.1628
panj1256,dutc1256,0.9131,0.5923,0.5366,0.3418,0.4873,0.2397
panj1256,nyan1308,1.0,0.7184,0.6334,0.47,0.4843,0.2618
panj1256,east2652,1.0,0.6187,0.5455,0.4413,0.4727,0.1711
panj1256,poli1260,0.8831,0.5174,0.5185,0.1789,0.5412,0.2059
panj1256,port1283,0.9214,0.5216,0.5042,0.0,0.4629,0.2713
panj1256,roma1327,0.9078,0.5882,0.5541,0.3141,0.5311,0.1891
panj1256,russ1263,0.8691,0.5564,0.5567,0.319,0.5856,0.1086
panj1256,shon1251,1.0,0.7004,0.618,0.4878,0.5169,0.276
panj1256,soma1255,1.0,0.5318,0.497,0.4477,0.4674,0.1703
panj1256,stan1288,0.9248,0.5772,0.5508,0.3695,0.5577,0.2647
panj1256,swah1253,1.0,0.6401,0.5881,0.4413,0.5008,0.2304
panj1256,swed1254,0.8934,0.6139,0.5772,0.3578,0.5228,0.2132
panj1256,tami1289,1.0,0.561,0.4907,0.3141,0.4131,0.0896
panj1256,telu1262,1.0,0.5287,0.4478,0.2566,0.2687,0.0633
panj1256,taji1245,0.8245,0.6996,0.6578,0.4259,0.5899,0.0483
panj1256,taga1270,1.0,0.6248,0.5734,0.3141,0.4781,0.1993
panj1256,thai1261,1.0,0.6778,0.605,0.409,0.4365,0.1259
panj1256,tigr1271,1.0,0.5788,0.5658,0.3931,0.5825,0.1638
panj1256,turk1304,1.0,0.5906,0.5457,0.2566,0.4948,0.0703
panj1256,nucl1301,1.0,0.5909,0.5552,0.3695,0.548,0.161
panj1256,ukra1253,0.8831,0.5633,0.5238,0.2566,0.5008,0.1892
panj1256,uigh1240,1.0,0.6442,0.5833,0.4208,0.5577,0.0639
panj1256,uzbe1247,1.0,0.5697,0.5668,0.4413,0.5762,0.0543
panj1256,viet1252,1.0,0.7207,0.6301,0.4225,0.4699,0.1371
panj1256,xhos1239,1.0,0.6806,0.5912,0.3931,0.5008,0.3171
panj1256,yoru1245,1.0,0.7115,0.6334,0.4208,0.4832,0.299
panj1256,zulu1248,1.0,0.6762,0.62,0.4918,0.5342,0.2948
telu1262,amha1245,1.0,0.555,0.5335,0.3695,0.5211,0.1701
telu1262,stan1318,1.0,0.7163,0.633,0.3433,0.5499,0.1526
telu1262,nort2697,1.0,0.535,0.5206,0.39,0.5727,0.1652
telu1262,beng1280,1.0,0.4976,0.4134,0.3064,0.3198,0.0594
telu1262,stan1289,1.0,0.6534,0.575,0.1864,0.4565,0.2897
telu1262,cebu1242,1.0,0.7661,0.6591,0.3277,0.5587,0.1993
telu1262,cent1972,1.0,0.7686,0.8031,0.805,0.8611,0.1564
telu1262,stan1295,1.0,0.6337,0.5648,0.4034,0.5367,0.2665
telu1262,west2369,1.0,0.6504,0.5881,0.4034,0.5447,0.1124
telu1262,stan1290,1.0,0.7358,0.6021,0.3776,0.4777,0.2924
telu1262,haus1257,1.0,0.7098,0.6322,0.432,0.5594,0.2877
telu1262,hind1269,1.0,0.5738,0.4719,0.3776,0.3131,0.0399
telu1262,hung1274,1.0,0.5982,0.5389,0.3277,0.4744,0.247
telu1262,ilok1237,1.0,0.7187,0.6031,0.2736,0.496,0.1798
telu1262,indo1316,1.0,0.7349,0.6236,0.1864,0.4878,0.1726
